,Brand,Model,Version,Price,Modèle,Ville,Vendeur,Main,Kilométrage,Carburant,Transmision,Année de mise en circulation,1ère main,Dédouanée,Motorisation,Puissance fiscale,Puissance dynamique,Couleur extérieure,Etat du véhicule,Climatisation,Système audio,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Rétroviseurs rabattables électriquement,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Aide au stationnement,Caméra de recul,Bluetooth,Système de navigation,Jantes aluminium,Volant cuir,Sellerie,Vitres teintées,Feux de jour,Feux à LED,Phares Xénon,Barres de toit,Toit,Airbags,ABS,ESP,Aide au freinage d'urgence,Antipatinage,Antidémarrage électronique,Détecteur de sous-gonflage,Fermeture de portes en roulant,Aide au démarrage en cote,Système d'alerte de franchissement de ligne,Détecteur d'angle mort,Système d'alarme
240,PEUGEOT,508 2018,2.0 HDi 163 BVA Allure,264.823 DH,2018,Marrakech,Particulier,Première,29.394 km,Diesel,Automatique,2018,oui,non,Diesel,8 cv,163 ch,Noir,Comme neuve,auto. Quadri-zone,"Radio, CD, MP3",Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,Avant et Arrière,oui,oui,oui,oui,oui,Cuir,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,non
241,PEUGEOT,208 2018,1.6 HDi 75 Like,118.000 DH,2018,Marrakech,Particulier,Première,9.000 km,Diesel,Manuelle,2018,oui,non,Diesel,6 cv,75 ch,Gris,Comme neuve,manuelle,"Radio, CD, MP3",Electrique AV,non,non,non,oui,non,non,oui,non,oui,non,non,non,non,non,non,non,non,non,non,Tissu,non,non,non,non,non,Rigide,oui,oui,non,oui,non,oui,non,oui,non,non,non,non
242,PEUGEOT,508 2018,2.0 HDi 180 EAT8 Allure,321.879 DH,2018,Marrakech,Particulier,Seconde,6.000 km,Diesel,Automatique,2018,non,non,Diesel,8 cv,180 ch,Rouge,Comme neuve,auto. Bi-zone,"Radio, USB",Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui,oui,Avant et Arrière,oui,oui,non,oui,oui,Cuir,oui,oui,oui,non,non,Rigide,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,non
243,PEUGEOT,3008 2018,2.0 HDi 150 BVA Active,275.000 DH,2018,Casablanca,Particulier,Première,4.000 km,Diesel,Automatique,2018,oui,non,Diesel,8 cv,150 ch,Gris foncé,Comme neuve,manuelle,"Radio CD, MP3, USB",Electrique AV/AR,non,oui,oui,oui,non,non,oui,non,oui,non,non,non,oui,Arrière,non,oui,non,non,non,Tissu,oui,oui,non,non,oui,Rigide,oui,oui,oui,oui,oui,oui,non,oui,oui,non,non,non
244,PEUGEOT,301 2018,1.2 PureTech Allure,119.017 DH,2018,Marrakech,Particulier,Première,13.058 km,Essence,Manuelle,2018,oui,non,Essence,7 cv,82 ch,Marron clair,Comme neuve,auto.,"Radio CD, MP3, USB",Electrique AV/AR,non,oui,non,oui,non,non,oui,oui,oui,non,oui,non,oui,Arrière,oui,oui,non,oui,oui,Tissu,non,oui,non,non,non,Rigide,oui,oui,oui,oui,oui,oui,non,oui,non,non,non,non
245,PEUGEOT,206 2011,1.4 HDi Urban Clim,55.000 DH,2011,Casablanca,Particulier,Seconde,140.000 km,Essence,Manuelle,2011,non,non,Essence,6 cv,75 ch,Noir,Très bon,manuelle,"Radio, CD, MP3",Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,Tissu,non,non,oui,non,non,Panoramique,oui,oui,non,non,non,non,non,non,non,non,non,non
246,PEUGEOT,508 2016,1.6 BlueHDi 120 Pack Edition,126.000 DH VENDUE,2016,Ouarzazate,Particulier,Seconde,125.000 km,Diesel,Manuelle,2016,non,non,Diesel,6 cv,120 ch,Noir,Très bon,auto. Bi-zone,"Radio, CD, MP3",Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,non,oui,oui,oui,non,oui,non,non,Avant et Arrière,non,oui,non,oui,oui,Tissu,non,oui,oui,non,non,Rigide,oui,oui,oui,non,non,non,non,non,non,non,non,non
247,PEUGEOT,3008 2016,1.6 HDi Active,175.000 DH,2016,Casablanca,Particulier,Première,24.000 km,Diesel,Manuelle,2016,oui,non,Diesel,6 cv,150 ch,Gris foncé,Très bon,auto. Bi-zone,"Radio, MP3, USB",Electrique AV/AR,non,oui,non,oui,oui,oui,oui,non,oui,non,non,oui,oui,non,non,oui,non,oui,non,Tissu,non,oui,oui,non,non,Rigide,oui,oui,oui,non,oui,non,non,oui,non,non,non,non
248,PEUGEOT,307 SW 2003,Autre version,48.000 DH,2003,Temara,Particulier,Seconde,147.000 km,Essence,Manuelle,2003,non,non,Essence,7 cv,90 ch,Autre couleur,Très bon,auto.,"Radio, CD",Electrique AV/AR,non,oui,non,non,non,non,oui,non,oui,non,non,non,non,non,non,non,non,oui,non,Tissu,oui,non,non,non,oui,Panoramique ouvrant,oui,oui,non,non,oui,non,non,non,non,non,non,non
249,PEUGEOT,308 2014,1.6 e-HDi STT Allure,118.000 DH,2014,Rabat,Particulier,Seconde,149.000 km,Diesel,Manuelle,2014,non,non,Diesel,6 cv,90 ch,Noir,Excellent,auto. Bi-zone,"Radio, MP3, USB",Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui,oui,oui,non,Tissu,oui,oui,oui,non,non,Rigide,oui,oui,oui,oui,oui,oui,oui,non,oui,non,oui,oui
250,PEUGEOT,205 1992,Autre version,25.000 DH,1992,Rabat,Particulier,Première,140.695 km,Essence,Manuelle,1992,oui,non,Essence,-,-,Bleu foncé,Excellent,manuelle,"Radio, CD",Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,non,non,non,oui,non,Tissu,non,oui,non,non,non,Rigide,oui,oui,oui,oui,oui,non,non,oui,non,non,non,non
251,PEUGEOT,308 2017,1.5 BlueHDi 130 BVA Allure,145.000 DH,2017,Fès,Professionnel,Première,90.000 km,Diesel,Automatique,2017,oui,non,Diesel,6 cv,130 ch,Rouge,Excellent,auto. Bi-zone,"Radio, MP3, USB",Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui,oui,Arrière,oui,oui,non,oui,oui,Tissu,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui
252,PEUGEOT,308 2017,1.6 HDi 92 Access+,145.000 DH,2017,Fès,Professionnel,Première,88.000 km,Diesel,Manuelle,2017,oui,non,Diesel,6 cv,92 ch,Noir,Comme neuve,manuelle,"Radio, MP3, USB",Electrique AV/AR,non,oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,oui,non,non,oui,non,oui,non,Tissu,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui
253,PEUGEOT,208 2014,1.6 HDi 92 Active,65.000 DH VENDUE,2014,Rabat,Particulier,Seconde,17.978 km,Diesel,Manuelle,2014,non,oui,Diesel,6 cv,92 ch,Noir,Comme neuve,manuelle,"Radio, USB",Electrique AV,non,oui,non,oui,non,non,oui,oui,oui,non,non,oui,non,Arrière,non,oui,non,non,oui,Tissu,non,non,non,non,non,Rigide,oui,oui,oui,oui,oui,oui,oui,non,oui,non,non,non
254,PEUGEOT,308 2017,1.6 HDi 92 Pack Edition,145.000 DH VENDUE,2017,Fès,Professionnel,Première,90.000 km,Diesel,Manuelle,2017,oui,non,Diesel,6 cv,92 ch,Bordeau,Excellent,auto. Bi-zone,"Radio CD, MP3, USB",Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,Arrière,non,oui,non,oui,oui,Tissu,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui
255,PEUGEOT,208 2012,1.6 HDi 92 Access,77.000 DH VENDUE,2012,Casablanca,Particulier,Seconde,135.000 km,Diesel,Manuelle,2012,non,non,Diesel,6 cv,92 ch,-,-,manuelle,"Radio, USB",Electrique AV,non,oui,non,non,non,non,oui,non,non,non,non,non,non,non,non,non,non,non,non,Tissu,non,non,non,non,non,Rigide,oui,oui,oui,non,oui,oui,non,non,oui,non,non,non
256,PEUGEOT,508 2013,Autre version,128.000 DH VENDUE,2013,Rabat,Particulier,Première,153.000 km,Diesel,Manuelle,2013,oui,oui,Diesel,8 cv,140 ch,Noir,Excellent,auto. Bi-zone,"Radio, MP3, USB",-,non,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui,oui,oui,oui,non,Tissu,oui,oui,oui,oui,non,Panoramique ouvrant,oui,oui,non,oui,oui,non,non,oui,non,non,oui,oui
257,PEUGEOT,308 2017,1.6 HDi 92 Access,145.000 DH VENDUE,2017,Fès,Professionnel,Première,78.000 km,Diesel,Manuelle,2017,oui,non,Diesel,6 cv,92 ch,Noir,Comme neuve,manuelle,"Radio CD, MP3, USB",Electrique AV/AR,non,oui,oui,oui,non,oui,oui,oui,oui,oui,non,oui,oui,non,non,oui,oui,oui,non,Tissu,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
258,PEUGEOT,307 2006,1.6 HDi XT - 90 ch,68.000 DH VENDUE,2006,Kénitra,Particulier,Seconde,220.000 km,Diesel,Manuelle,2006,non,non,Diesel,6 cv,90 ch,Noir,Très bon,manuelle,"Radio, CD, MP3",Electrique AV,non,oui,non,non,non,non,oui,non,non,non,non,non,non,non,non,non,non,oui,non,Tissu,non,non,non,non,non,Rigide,oui,oui,non,non,non,oui,non,non,non,non,non,non
259,PEUGEOT,406 2004,2.0 HDi SR,62.000 DH VENDUE,2004,Casablanca,Particulier,Seconde,200.000 km,Diesel,Manuelle,2004,non,oui,Diesel,8 cv,110 ch,Bleu,Très bon,auto.,"Radio CD, MP3, USB",Electrique AV/AR,non,non,non,non,oui,oui,oui,non,oui,non,non,non,non,non,non,non,non,non,non,Tissu,non,oui,non,non,non,Rigide,oui,oui,non,non,non,non,non,non,non,non,non,non
260,PEUGEOT,206 2004,1.4 HDi ONE Line,55.000 DH VENDUE,2004,Fès,Particulier,Première,92.000 km,Diesel,Manuelle,2004,oui,non,Diesel,6 cv,75 ch,Noir,Très bon,non,"Radio, CD, MP3",-,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Tissu,non,non,non,non,non,Rigide,non,non,non,non,non,non,non,oui,non,non,non,non
261,PEUGEOT,3008 2018,2.0 HDi 150 Allure,235.000 DH VENDUE,2018,Marrakech,Particulier,Première,49.000 km,Diesel,Manuelle,2018,oui,non,Diesel,8 cv,150 ch,Noir,Comme neuve,auto. Bi-zone,"Radio CD, MP3, USB",Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,oui,oui,non,non,non,oui,Avant et Arrière,oui,oui,oui,oui,oui,Cuir / Alcantra,oui,oui,oui,non,oui,Rigide,oui,oui,oui,oui,oui,oui,non,oui,oui,non,non,non
262,PEUGEOT,406 2002,2.0 HDi ST,40.000 DH VENDUE,2002,Casablanca,Particulier,Seconde,100.000 km,Diesel,Manuelle,2002,non,non,Diesel,8 cv,110 ch,Gris clair,Très bon,auto.,Radio,Electrique AV/AR,non,non,non,non,oui,oui,oui,non,oui,non,non,non,non,non,non,non,non,oui,non,Cuir,non,non,non,non,non,Rigide,oui,oui,non,non,non,non,non,non,non,non,non,non
263,PEUGEOT,208 2018,1.6 HDi 92 Access,88.000 DH VENDUE,2018,Mohammadia,Particulier,Seconde,144.000 km,Diesel,Automatique,2018,non,non,Diesel,6 cv,92 ch,Gris,Excellent,manuelle,"Radio CD, MP3, USB",Electrique AV,non,oui,non,oui,non,non,non,non,non,non,non,non,non,non,non,oui,non,non,non,Tissu,non,non,non,non,non,Rigide,oui,oui,oui,oui,oui,oui,non,non,non,non,non,non
264,PEUGEOT,307 2010,1.6 HDi XT - 90 ch,110.000 DH VENDUE,2010,Tiznit,Particulier,Seconde,52.000 km,Diesel,Manuelle,2010,non,oui,Diesel,7 cv,90 ch,Gris,Comme neuve,manuelle,"Radio, CD, MP3",Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,Tissu,non,non,non,non,non,Rigide,non,non,non,non,non,non,non,non,non,non,non,non
